"id","inventory_id/id","product_id/id","product_qty","product_uom_id/id","location_id/id"
"stock_inventory_line_1","stock_inventory_1","product_product_20","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_2","stock_inventory_1","product_product_16","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_3","stock_inventory_1","product_product_50","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_4","stock_inventory_1","product_product_2","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_5","stock_inventory_1","product_product_176","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_6","stock_inventory_1","product_product_268","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_7","stock_inventory_1","product_product_272","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_8","stock_inventory_1","product_product_105","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_9","stock_inventory_1","product_product_62","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_10","stock_inventory_1","product_product_63","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_11","stock_inventory_1","product_product_67","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_12","stock_inventory_1","product_product_19","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_13","stock_inventory_1","product_product_237","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_14","stock_inventory_1","product_product_240","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_15","stock_inventory_1","product_product_212","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_16","stock_inventory_1","product_product_10","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_17","stock_inventory_1","product_product_23","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_18","stock_inventory_1","product_product_153","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_19","stock_inventory_1","product_product_170","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_20","stock_inventory_1","product_product_201","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_21","stock_inventory_1","product_product_163","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_22","stock_inventory_1","product_product_156","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_23","stock_inventory_1","product_product_157","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_24","stock_inventory_1","product_product_159","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_25","stock_inventory_1","product_product_164","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_26","stock_inventory_1","product_product_277","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_27","stock_inventory_1","product_product_255","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_28","stock_inventory_1","product_product_250","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_29","stock_inventory_1","product_product_4","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_30","stock_inventory_1","product_product_94","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_31","stock_inventory_1","product_product_5","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_32","stock_inventory_1","product_product_53","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_33","stock_inventory_1","product_product_57","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_34","stock_inventory_1","product_product_41","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_35","stock_inventory_1","product_product_173","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_36","stock_inventory_1","product_product_291","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_37","stock_inventory_1","product_product_107","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_38","stock_inventory_1","product_product_34","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_39","stock_inventory_1","product_product_110","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_40","stock_inventory_1","product_product_256","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_41","stock_inventory_1","product_product_1","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_42","stock_inventory_1","product_product_21","20.0","product.product_uom_unit","stock.stock_location_stock"
"stock_inventory_line_43","stock_inventory_2","product_product_20","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_44","stock_inventory_2","product_product_16","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_45","stock_inventory_2","product_product_50","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_46","stock_inventory_2","product_product_2","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_47","stock_inventory_2","product_product_176","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_48","stock_inventory_2","product_product_268","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_49","stock_inventory_2","product_product_272","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_50","stock_inventory_2","product_product_105","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_51","stock_inventory_2","product_product_62","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_52","stock_inventory_2","product_product_63","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_53","stock_inventory_2","product_product_67","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_54","stock_inventory_2","product_product_19","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_55","stock_inventory_2","product_product_237","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_56","stock_inventory_2","product_product_240","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_57","stock_inventory_2","product_product_212","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_58","stock_inventory_2","product_product_10","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_59","stock_inventory_2","product_product_23","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_60","stock_inventory_2","product_product_153","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_61","stock_inventory_2","product_product_170","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_62","stock_inventory_2","product_product_201","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_63","stock_inventory_2","product_product_163","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_64","stock_inventory_2","product_product_156","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_65","stock_inventory_2","product_product_157","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_66","stock_inventory_2","product_product_159","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_67","stock_inventory_2","product_product_164","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_68","stock_inventory_2","product_product_277","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_69","stock_inventory_2","product_product_255","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_70","stock_inventory_2","product_product_250","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_71","stock_inventory_2","product_product_4","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_72","stock_inventory_2","product_product_94","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_73","stock_inventory_2","product_product_5","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_74","stock_inventory_2","product_product_53","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_75","stock_inventory_2","product_product_57","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_76","stock_inventory_2","product_product_41","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_77","stock_inventory_2","product_product_173","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_78","stock_inventory_2","product_product_291","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_79","stock_inventory_2","product_product_107","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_80","stock_inventory_2","product_product_34","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_81","stock_inventory_2","product_product_110","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_82","stock_inventory_2","product_product_256","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_83","stock_inventory_2","product_product_1","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
"stock_inventory_line_84","stock_inventory_2","product_product_21","10.0","product.product_uom_unit","stock.stock_location_specibike_paris"
